City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,la passe,45.5549,-0.8967,15.13,78,97,2.93,FR,1682498543
172,itacoatiara,-3.1431,-58.4442,22.31,98,96,0.63,BR,1682498544
173,aripuana,-9.1667,-60.6333,21.28,99,38,0.38,BR,1682498545
174,el tigre,8.8875,-64.2454,22.27,89,95,1.42,VE,1682498547
175,tezu,27.9167,96.1667,32.99,28,15,2.32,IN,1682498548
176,el bolson,-41.9667,-71.5167,6.81,98,18,1.95,AR,1682498550
177,umm kaddadah,13.6017,26.6876,35.49,29,83,6.73,SD,1682498551
178,bandundu,-3.3167,17.3667,30.13,62,100,1.85,CD,1682498365
179,ceelbuur,4.685,46.6176,33.57,41,56,3.15,SO,1682498553
180,port hedland,-20.3167,118.5667,30.03,58,97,6.17,AU,1682498441
181,espanola,35.9911,-106.0806,5.33,43,49,0.45,US,1682498555
182,vila velha,-20.3297,-40.2925,21.97,99,75,1.54,BR,1682498556
183,black mountain,35.6179,-82.3212,9.17,88,60,0.57,US,1682498557
184,hadibu,12.65,54.0333,30.58,58,0,1.36,YE,1682498558
185,ataq,14.5377,46.8319,31.76,26,10,4.48,YE,1682498559
186,colonia,50.9333,6.95,9.41,65,20,1.03,DE,1682498560
187,callao,-12.0667,-77.15,24.16,69,75,5.14,PE,1682498561
188,mundemba,4.9479,8.8724,29.76,65,99,1.8,CM,1682498562
189,kosiv,48.3107,25.0958,5.12,97,100,4.12,UA,1682498562
190,fallon,39.4735,-118.7774,12.07,27,3,3.15,US,1682498563
191,coahuayana de hidalgo,18.7,-103.6583,21.47,63,100,1.53,MX,1682498565
192,angaur state,6.906,134.13,29.25,67,6,3.12,PW,1682498566
193,fort st. john,56.2499,-120.8529,-0.06,80,75,1.54,CA,1682498567
194,badger,64.8,-147.5333,-0.07,58,75,4.12,US,1682498568
195,st. john's,47.5649,-52.7093,2.04,94,75,9.83,CA,1682498569
196,shalqar,47.8333,59.6,24.17,14,96,9.94,KZ,1682498570
197,kerikeri,-35.2268,173.9474,13.84,91,1,1.68,NZ,1682498571
198,boende,-0.2167,20.8667,24.86,94,99,3.29,CD,1682498572
199,vanimo,-2.6741,141.3028,26.92,86,79,2.54,PG,1682498572
200,ribeira brava,32.65,-17.0667,21.51,57,100,0.67,PT,1682498574
201,isafjordur,66.0755,-23.124,-0.98,59,40,3.6,IS,1682498574
202,forster,-32.1667,152.5167,16.75,89,54,4.18,AU,1682498575
203,sangkhla buri,15.1555,98.4536,26.38,77,91,0.48,TH,1682498576
204,patong,7.8961,98.2966,33.08,68,100,4.21,TH,1682498578
205,ta`u,-14.2336,-169.5144,27.63,74,5,2.95,AS,1682498578
206,glace bay,46.1969,-59.957,0.99,94,100,3.09,CA,1682498580
207,santo domingo petapa,16.8181,-95.1403,23.79,81,79,2.38,MX,1682498581
208,kenora,49.8167,-94.4337,1.54,47,40,3.09,CA,1682498582
209,mount pearl,47.5166,-52.7813,1.58,94,75,7.72,CA,1682498583
210,tokar,18.4254,37.729,33.27,49,2,6.56,SD,1682498584
211,susuman,62.7833,148.1667,-5.49,89,91,0.33,RU,1682498587
212,suining,30.508,105.5733,23.07,47,93,3.28,CN,1682498588
213,olonkinbyen,70.9221,-8.7187,-3.36,69,100,5.6,SJ,1682498589
214,puerto quijarro,-17.7833,-57.7667,21.54,98,1,0.63,BO,1682498591
215,novyy urengoy,66.0833,76.6333,-1.68,86,65,3.61,RU,1682498591
216,vernon,50.2581,-119.2691,8.5,64,98,3.6,CA,1682498592
217,klyuchi,52.2667,79.1667,21.32,28,54,7.46,RU,1682498593
218,kajaani,64.2273,27.7285,3.03,87,20,8.23,FI,1682498594
219,tchintabaraden,15.8969,5.7985,36.01,6,20,1.92,NE,1682498595
220,mawlamyinegyunn,16.3833,95.2667,40.79,20,100,4.61,MM,1682498549
221,antonio enes,-16.2325,39.9086,27.81,58,83,5.57,MZ,1682498302
222,francistown,-21.17,27.5079,29.76,26,20,6.51,BW,1682498598
223,moshkovo,55.3053,83.6104,6.01,81,94,3.17,RU,1682498598
224,tolanaro,-25.0319,46.9987,26.04,50,20,6.17,MG,1682498599
225,pangoa,-12.1167,-73.0,18.18,96,44,1.14,PE,1682498600
226,cabo san lucas,22.8909,-109.9124,21.45,73,99,2.24,MX,1682498588
227,san felipe,10.3399,-68.7425,21.02,92,96,1.16,VE,1682498602
228,ocean shores,46.9737,-124.1563,8.0,90,0,2.06,US,1682498603
229,kapuskasing,49.4169,-82.4331,-1.95,93,100,1.54,CA,1682498604
230,aoulef,26.9667,1.0833,32.05,12,0,8.2,DZ,1682498605
231,castillos,-34.1667,-53.8333,15.18,97,57,1.95,UY,1682498606
232,shetpe,44.1667,52.1167,13.78,88,100,4.92,KZ,1682498607
233,sasovo,54.3537,41.9199,11.41,89,99,6.29,RU,1682498558
234,flying fish cove,-10.4217,105.6791,27.57,76,100,4.11,CX,1682498608
235,kristinestad,62.2743,21.376,4.97,98,100,2.07,FI,1682498609
236,enewetak,11.3474,162.3373,26.96,84,96,9.58,MH,1682498610
237,cadale,2.7603,46.3222,30.53,64,100,4.48,SO,1682498611
238,al mazar al janubi,31.0656,35.6961,17.47,22,0,3.83,JO,1682498613
239,brandon,27.9378,-82.2859,21.69,88,0,3.09,US,1682498613
240,worland,44.0169,-107.9554,8.15,87,0,4.12,US,1682498614
241,olyokminsk,60.3736,120.4264,3.27,73,100,1.01,RU,1682498615
242,steyr,48.0427,14.4213,9.17,80,100,3.21,AT,1682498515
243,nemuro,43.3236,145.575,5.75,96,100,15.07,JP,1682498353
244,asau,46.4333,26.4,7.51,96,100,1.14,RO,1682498617
245,zhanibek,49.4167,46.85,17.67,54,65,5.17,KZ,1682498618
246,masterton,-40.9597,175.6575,11.05,89,91,1.33,NZ,1682498323
247,nchelenge,-9.3451,28.734,25.64,61,3,1.75,ZM,1682498621
248,qui nhon,13.7667,109.2333,27.99,73,100,6.69,VN,1682498509
249,holualoa,19.6228,-155.9522,21.91,96,75,2.06,US,1682498624
250,labytnangi,66.6572,66.4183,0.22,89,12,5.78,RU,1682498590
251,kasongo-lunda,-6.4667,16.8167,26.06,80,94,0.66,CD,1682498625
252,oak harbor,48.2932,-122.6432,9.12,91,40,2.06,US,1682498627
253,formosa do rio preto,-11.0483,-45.1931,17.45,69,63,0.89,BR,1682498628
254,laguna,38.421,-121.4238,18.03,70,0,2.06,US,1682498629
255,rajpipla,21.8667,73.5,38.9,18,83,4.08,IN,1682498631
